koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,is_exoplanet
0,0,0,0,31.99552485,154.160745,0.69,4.2817,1376.1,4.12,582.0,27.17,128.0,5657.0,4.364,1.046,1
0,0,0,0,46.6856205,225.04604,0.217,6.3794,588.8,2.52,513.0,16.41,59.0,5657.0,4.364,1.046,1
0,0,0,0,118.3786735,287.28744,0.011,9.5574,1083.3,3.4,376.0,4.75,83.1,5657.0,4.364,1.046,1
0,0,0,0,10.30401132,138.50377,0.017,4.2246,316.1,1.84,849.0,122.98,53.8,5657.0,4.364,1.046,1
0,0,1,1,5.80181368,137.57807,0.967,4.119,269.6,4.52,1491.0,1168.82,35.3,6020.0,3.86,2.097,0
0,0,0,0,8.99088621,136.73923,0.77,4.2447,469.7,2.78,960.0,200.35,93.6,5881.0,4.315,1.171,1
0,0,0,0,2.403640701,134.73065,0.918,1.4012,74.9,1.24,1489.0,1164.85,16.3,5881.0,4.315,1.171,1
0,0,0,0,13.73808249,134.43787,0.957,3.354,660.7,3.84,912.0,163.52,68.4,6375.0,4.292,1.178,1
0,0,0,0,3.105507835,133.210427,0.799,1.7458,904.6,2.68,980.0,217.91,178.6,4989.0,4.585,0.791,1
0,0,0,0,14.00640392,142.20885,0.568,4.6919,716.4,3.11,807.0,100.09,109.3,5788.0,4.323,1.124,1
0,0,0,0,11.1199028,139.753524,0.72,3.3759,636.3,2.08,649.0,42.07,100.3,5078.0,4.581,0.766,1
0,1,1,1,4.4645454,132.31538,0.808,2.8823,194.3,3.07,1601.0,1555.36,37.6,6093.0,3.91,1.985,0
0,0,0,0,13.22175358,139.570627,0.451,2.7884,876.5,2.38,640.0,39.56,93.6,5211.0,4.556,0.799,1
0,0,0,0,12.49340725,138.462232,0.594,2.2614,715.7,2.2,649.0,42.08,76.2,5207.0,4.561,0.795,1
0,0,0,0,4.919584997,134.602396,0.243,4.1988,425.7,2.86,1312.0,702.13,132.0,6236.0,4.246,1.378,1
0,0,0,0,10.74241765,133.2867,0.034,6.0633,415.2,3.06,1008.0,243.94,95.4,5761.0,4.091,1.518,1
0,0,0,0,15.27443889,147.57983,0.153,6.0765,206.7,2.17,896.0,152.62,40.3,5761.0,4.091,1.518,1
0,0,0,0,7.10695741,138.32271,0.079,5.1462,131.0,1.72,1157.0,422.8,33.8,5761.0,4.091,1.518,1
0,0,1,1,11.70219638,151.13414,1.166,2.6658,639.7,16.15,719.0,63.16,41.3,5758.0,4.596,0.762,0
0,1,1,1,15.60865244,144.29934,0.985,6.26,311.4,6.17,1419.0,958.55,46.9,8014.0,3.94,2.43,0
0,0,0,0,5.968724048,137.158607,0.166,3.651,510.6,3.26,1251.0,579.9,107.1,6122.0,4.173,1.439,1
0,0,0,0,13.07141889,144.44217,0.751,3.0946,251.1,2.47,964.0,203.87,32.0,6122.0,4.173,1.439,1
0,0,0,0,13.7223682,137.84083,0.009,5.1231,571.1,2.23,746.0,73.16,97.9,5637.0,4.399,0.943,1
0,0,0,0,242.467406,150.85827,0.173,12.808,340.3,1.73,286.0,1.59,23.2,5637.0,4.399,0.943,1
0,0,0,0,10.06083238,138.96723,0.672,4.5718,460.2,2.58,899.0,154.16,86.4,5705.0,4.297,1.14,1
0,0,0,0,56.35407916,144.83768,0.835,3.4449,1037.0,2.59,352.0,3.63,59.4,4802.0,4.582,0.701,1
0,0,1,1,6.71425632,134.31646,0.965,3.339,283.5,5.76,1565.0,1416.6,46.5,6093.0,3.737,2.623,0
0,0,0,0,30.22910274,134.52081,0.77,6.6751,443.4,3.49,755.0,76.88,71.7,6325.0,4.188,1.518,1
0,0,0,0,21.06075303,143.59983,0.176,5.2472,301.2,1.78,669.0,47.39,54.4,5706.0,4.382,1.034,1
0,1,1,1,6.14281498,135.16169,0.67,4.624,122.0,1.82,1355.0,796.26,36.0,6495.0,4.128,1.554,0
0,0,0,0,20.74028645,142.80003,0.431,10.3939,1023.3,4.24,798.0,95.68,155.3,6226.0,4.264,1.299,1
1,0,0,0,572.376632,306.51006,0.712,24.42,1743.4,5.8,264.0,1.15,78.6,6226.0,4.264,1.299,1
0,0,0,0,10.04556377,129.09371,0.075,3.2027,671.4,2.19,766.0,81.61,66.5,5632.0,4.554,0.853,1
0,1,0,0,5.093938816,139.7178386,0.618,3.93144,25026.7,17.19,1137.0,395.38,1131.7,6197.0,4.449,1.035,0
0,1,0,0,3.479425638,136.797172,0.612,3.4479,19550.0,12.86,1166.0,435.85,123.3,5907.0,4.519,0.878,1
0,0,0,0,2.684328541,133.3548095,0.076,2.69382,18136.5,12.73,1265.0,603.57,2833.1,5561.0,4.411,0.956,1
